ID;Título;Resumen;Contenido;Periódico;Categoría;Región;URL;Fecha Extracción;Cantidad Imágenes
1754;Dina Boluarte anuncia respaldo del Ejecutivo al octavo retiro de AFP: “Es el dinero de la familias que trabajan”;;;El Comercio;General;Nacional;https://elcomercio.pe/economia/peru/dina-boluarte-anuncia-respaldo-del-ejecutivo-al-octavo-retiro-de-afp-es-el-dinero-de-la-familias-que-trabajan-retiro-afp-dina-boluarte-afp-mef-noticia/;2025-09-14T15:45:53.844887;1
1753;Parque Salazar: el caso del alférez Alfredo Salazar, héroe aviador que salvó a los miraflorinos en 1937 |FOTOS;;;El Comercio;General;Nacional;https://elcomercio.pe/archivo-elcomercio/alfredo-salazar-southwell-parque-salazar-miraflores-larcomar-heroe-aviador-fuerza-aerea-peruana-fap-anos-30-nnsp-noticia/;2025-09-14T15:45:53.828812;1
1752;Ibai confirma que vendrá a Perú para entregar el premio al campeón del Mundial de Desayunos;;;El Comercio;General;Nacional;https://elcomercio.pe/tvmas/famosos/ibai-confirma-que-vendra-a-peru-para-entregar-el-premio-al-campeon-del-mundial-de-desayunos-celebs-ultimas-noticia/;2025-09-14T15:45:53.773175;1
1751;Universitario vs. Melgar en vivo: transmisión del partido por Liga 1;;;El Comercio;General;Nacional;https://elcomercio.pe/deporte-total/futbol-peruano/universitario-vs-melgar-en-vivo-online-gratis-por-liga-1-via-liga-1-max-liga-1-play-directv-a-que-hora-juegan-canal-que-transmite-y-donde-ver-partido-de-hoy-lbposting-noticia/;2025-09-14T15:45:53.745002;1
1750;Emmy Nominees 2025: The Complete List;Emmy AwardsHow to WatchWhat to KnowThe NomineesActing NominationsSnubs and SurprisesAdvertisementSKIP ADVERTISEMENTSupported bySKIP ADVERTISEMENTEmmy Nominees 2025: The Complete ListThe 77th Emmy Awar...;Emmy AwardsHow to WatchWhat to KnowThe NomineesActing NominationsSnubs and SurprisesAdvertisementSKIP ADVERTISEMENTSupported bySKIP ADVERTISEMENTEmmy Nominees 2025: The Complete ListThe 77th Emmy Awards ceremony is planned for Sept. 14. See all the nominees below.Listen to this article · 15:30 min Learn moreShare full article“The Penguin,” an HBO limited series, nabbed 24 Emmy nominations on Tuesday, including for Colin Farrell. Credit...HBOBy Shivani GonzalezPublished July 15, 2025Updated Aug. ...;Nytimes;Internacional;Extranjero;https://www.nytimes.com/2025/07/15/arts/television/emmy-nominees-list-2025.html;2025-09-14T13:27:56.167930;0
1749;Vuelta a Espana finish cancelled on security grounds after pro-Palestine protests in Madrid;;;Nytimes;Internacional;Extranjero;https://www.nytimes.com/athletic/6628349/2025/09/14/vuelta-a-espana-finish-cancel-palestine-protests/;2025-09-14T13:27:56.044942;0
1748;Homeless and Hungry, Gazans Fear a Repeat of 1948 History;Middle East CrisisThe LatestGaza City Evacuation OrdersFears of Permanent DisplacementHouthi Strike on Israeli AirportIran and Nuclear InspectionsYou have a preview view of this article while we are c...;Middle East CrisisThe LatestGaza City Evacuation OrdersFears of Permanent DisplacementHouthi Strike on Israeli AirportIran and Nuclear InspectionsYou have a preview view of this article while we are checking your access. When we have confirmed access, the full article content will load.Homeless and Hungry, Gazans Fear a Repeat of 1948 HistoryIsrael’s war in Gaza has displaced most of the 2.2 million Palestinian residents from their homes. Many of them fear it will be permanent, a reprise of the ...;Nytimes;Internacional;Extranjero;https://www.nytimes.com/2025/09/07/world/middleeast/homeless-and-hungry-gazans-fear-a-repeat-of-1948-history.html;2025-09-14T13:27:55.967960;0
1747;Trump’s Reversals on Immigration Mount Over Economic Concerns;U.S. ImmigrationChicago CrackdownL.A. Immigration StopsICE in MassachusettsHyundai-LG Plant RaidImmigrants’ RightsAdvertisementSKIP ADVERTISEMENTSupported bySKIP ADVERTISEMENTNews AnalysisTrump’s Reve...;U.S. ImmigrationChicago CrackdownL.A. Immigration StopsICE in MassachusettsHyundai-LG Plant RaidImmigrants’ RightsAdvertisementSKIP ADVERTISEMENTSupported bySKIP ADVERTISEMENTNews AnalysisTrump’s Reversals on Immigration Mount Over Economic ConcernsPresident Trump has walked back some significant immigration policies that collide with his economic agenda, angering his far-right allies. Listen to this article · 7:32 min Learn moreShare full articleImmigration officers during an arrest operation i...;Nytimes;Internacional;Extranjero;https://www.nytimes.com/2025/09/14/us/politics/trump-immigration-policy-reversals.html;2025-09-14T13:27:55.928919;0
1746;Zoom’s C.E.O. Thinks Your Meetings Could Be Better;Artificial IntelligenceA.I. Influencers‘Open-Source’ OpenAIThe ‘Hard Tech’ Era‘90s NostalgiaSan Francisco’s A.I. BoomAdvertisementSKIP ADVERTISEMENTSupported bySKIP ADVERTISEMENTZoom’s C.E.O. Thinks Y...;Artificial IntelligenceA.I. Influencers‘Open-Source’ OpenAIThe ‘Hard Tech’ Era‘90s NostalgiaSan Francisco’s A.I. BoomAdvertisementSKIP ADVERTISEMENTSupported bySKIP ADVERTISEMENTZoom’s C.E.O. Thinks Your Meetings Could Be BetterEric Yuan, who saw the firm he founded become a household name during the pandemic, is trying to change the way people use the platform.Share full articleEric Yuan, the founder and chief executive of Zoom Communications, said there were many “unsustainable new use cases” ...;Nytimes;Internacional;Extranjero;https://www.nytimes.com/2025/09/14/business/zoom-meetings-eric-yuan.html;2025-09-14T13:27:55.918205;0
1745;In an Era of Deep Polarization, Unity Is Not Trump’s Mission;Charlie Kirk (1993-2025)ObituaryThe SuspectMaps and Video TimelineWitness Recalls ShootingAdvertisementSKIP ADVERTISEMENTSupported bySKIP ADVERTISEMENTNews AnalysisIn an Era of Deep Polarization, Unit...;Charlie Kirk (1993-2025)ObituaryThe SuspectMaps and Video TimelineWitness Recalls ShootingAdvertisementSKIP ADVERTISEMENTSupported bySKIP ADVERTISEMENTNews AnalysisIn an Era of Deep Polarization, Unity Is Not Trump’s MissionPresident Trump does not subscribe to the traditional notion of being president for all Americans.Listen to this article · 10:56 min Learn moreShare full article34An attendee holds a candle at a vigil for Charlie Kirk at a city park in Provo, Utah, on Friday.Credit...Loren El...;Nytimes;Internacional;Extranjero;https://www.nytimes.com/2025/09/14/us/politics/trump-kirk-polarization-unity.html;2025-09-14T13:27:55.796430;0
1744;Las mejores hipotecas fijas según Kelisto (septiembre 2025);Pedro Ruiz 12/09/2025 08:33 Las mejores hipotecas fijas de septiembre de 2025 son, la Hipoteca Vamos a tipo fijo de Ibercaja (que cobra un interés del 2,15% TIN), la Hipoteca Open Fija de Openbank (2,...;Pedro Ruiz 12/09/2025 08:33 Las mejores hipotecas fijas de septiembre de 2025 son, la Hipoteca Vamos a tipo fijo de Ibercaja (que cobra un interés del 2,15% TIN), la Hipoteca Open Fija de Openbank (2,42% TIN) y la Hipoteca Fija Bonificada de Banco Santander (2,45% TIN), tras las cuales figuran las ofertas de Banco Sabadell (2,5% TIN) y ABANCA (2,55% TIN), según un análisis de Kelisto.es, que examina el mercado hipotecario teniendo en cuenta criterios de ordenación objetivos, como interés de cada...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/comprar/finanzas/20250804/10950487/mejores-hipotecas-fijas-kelisto-2025-mkt-klt.html;2025-09-14T13:26:25.397287;1
1743;Alfonso XIII, el rey salvador;Joan Esculies 14/09/2025 06:00 El verano del año 1914 empezó la Primera Guerra Mundial. España, con una economía débil y un ejército desfasado y ocupado en la guerra en Marruecos, se declaró neutral. ...;Joan Esculies 14/09/2025 06:00 El verano del año 1914 empezó la Primera Guerra Mundial. España, con una economía débil y un ejército desfasado y ocupado en la guerra en Marruecos, se declaró neutral. Pronto, sin embargo, empezaron a llegar algunas cartas de ciudadanos que pedían a Alfonso XIII que les ayudara a localizar a sus familiares que combatían en los frentes. La situación cambió un año después cuando, en junio de 1915, se publicó una noticia sobre una carta en Le Petit Journal , un diari...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/cultura/culturas/20250914/11039344/alfonso-xiii-rey-salvador.html;2025-09-14T13:26:25.372993;1
1742;Los postes de la Nova Icària que han seducido al jurado de los iPhone Photography Awards;Mabel Cedrón Barcelona 14/09/2025 03:30 * La autora forma parte de la comunidad de lectores de La Vanguardia En la playa de la Nova Icària hay unos postes que me han cautivado desde el primer día que ...;Mabel Cedrón Barcelona 14/09/2025 03:30 * La autora forma parte de la comunidad de lectores de La Vanguardia En la playa de la Nova Icària hay unos postes que me han cautivado desde el primer día que los vi: simples, verticales y pintados con los colores primarios. Esa fascinación cotidiana dio origen al tríptico Colores Primarios, que este año ha recibido el 2º lugar del prestigioso iPhone Photography Awards (IPPAWARDS) en Categoría - Series, un certamen internacional de referencia que se celeb...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/participacion/las-fotos-de-los-lectores/20250914/11049902/postes-nova-icaria-han-seducido-jurado-iphone-photography-awards.html;2025-09-14T13:26:25.277309;1
1741;Genocidio versus terrorismo;14/09/2025 00:30 Dentro de pocos días, el 7 de octubre, se cumplirán dos años de los ataques de Hamas en territorio israelí, con un balance de alrededor de 1.200 víctimas mortales y 250 secuestrados. ...;14/09/2025 00:30 Dentro de pocos días, el 7 de octubre, se cumplirán dos años de los ataques de Hamas en territorio israelí, con un balance de alrededor de 1.200 víctimas mortales y 250 secuestrados. Era previsible que Israel replicara de modo contundente a tal agresión, que reveló un grave fallo de su sistema defensivo. Pero pocos imaginaban que iba a responder a un ataque terrorista con lo que ha acabado siendo un genocidio contra los palestinos de Gaza. Un genocidio que reservará a Beniamin N...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/opinion/20250914/11056866/genocidio-versus-terrorismo.html;2025-09-14T13:26:25.263625;0
1740;El largo viaje de los ingenuos;14/09/2025 00:00 La accidentada salida de la Global Sumud Flotilla dio pie a todo tipo de comentarios jocosos. Jugaron en contra de la causa, desde luego, el ambiente desatinadamente festivo y algunas...;14/09/2025 00:00 La accidentada salida de la Global Sumud Flotilla dio pie a todo tipo de comentarios jocosos. Jugaron en contra de la causa, desde luego, el ambiente desatinadamente festivo y algunas sobreactuaciones durante la partida en Barcelona. También el hecho de que muchos barcos tuvieran que regresar a puerto por el mal tiempo y que el punto elegido para el reagrupamiento de la flota fuera la idílica isla de Menorca. Pero lo cierto es que, al principio, el estruendo de las críticas y ch...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/cultura/20250914/11056576/flotilla-gaza-israel-barcelona-riemen-dostoievski.html;2025-09-14T13:26:25.253043;0
1739;Un asesinato sin vinculación con el deporte;14/09/2025 00:30 La Guardia Civil y los Mossos d’Esquadra detuvieron el martes de la semana pasada a tres personas por el asesinato de un hombre en el año 2022 en La Baronia de Rialb (la Noguera). El ...;14/09/2025 00:30 La Guardia Civil y los Mossos d’Esquadra detuvieron el martes de la semana pasada a tres personas por el asesinato de un hombre en el año 2022 en La Baronia de Rialb (la Noguera). El titular de la información, publicada en la sección local de Lleida en la edición digital el miércoles por la mañana, destacaba que entre los detenidos había “un guardia civil, un mecánico y un familiar de X” , un famoso deportista español, al que se mencionaba con nombre y apellido. El lector Jaume ...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/opinion/20250914/11056241/asesinatosin-vinculacion-deporte.html;2025-09-14T13:26:25.215079;0
1738;La involución que viene;14/09/2025 00:05 La situación que describe hoy María-Paz López en Alemania con el auge de la ultraderecha AfD ya no es algo coyuntural. Toda Europa está mirando hacia posiciones de derecha extrema. Es...;14/09/2025 00:05 La situación que describe hoy María-Paz López en Alemania con el auge de la ultraderecha AfD ya no es algo coyuntural. Toda Europa está mirando hacia posiciones de derecha extrema. Estos partidos ya lideran la mayoría de las encuestas de las cuatro economías más ricas del continente. En Italia ya gobierna la formación de Giorgia Meloni, mientras que en Francia hace tiempo que Marine Le Pen lidera­ todos los sondeos y ahora en el Reino Unido se ha disparado Nigel­ Farage, aprovec...;La Vanguardia;Internacional;Extranjero;https://www.lavanguardia.com/opinion/20250914/11057414/involucion-viene.html;2025-09-14T13:26:25.191913;0
